モデル名,検出した人数,"向きの回数(Front, Behind, Left, Right, None)",向きの割合[%],ファイルパス
yolo26n-pose,1,"{630: [215, 0, 0, 0, 0]}","{630: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離5m/Front/1回目/resize.mov
yolo26n-pose,1,"{630: [208, 0, 0, 0, 0]}","{630: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離5m/Front/3回目/resize.mov
yolo26n-pose,1,"{630: [208, 0, 0, 0, 0]}","{630: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離5m/Front/2回目/resize.mov
yolo26n-pose,1,"{631: [0, 207, 0, 0, 0]}","{631: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離10m/Behind/1回目/resize.mov
yolo26n-pose,1,"{631: [0, 208, 0, 0, 0]}","{631: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離10m/Behind/3回目/resize.mov
yolo26n-pose,1,"{631: [0, 212, 0, 0, 0]}","{631: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離10m/Behind/2回目/resize.mov
yolo26n-pose,1,"{631: [0, 0, 0, 0, 210]}","{631: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/車載/距離10m/Right/1回目/resize.mov
yolo26n-pose,1,"{631: [0, 207, 0, 0, 0]}","{631: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離10m/Right/3回目/resize.mov
yolo26n-pose,1,"{631: [0, 0, 0, 0, 219]}","{631: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/車載/距離10m/Right/2回目/resize.mov
yolo26n-pose,7,"{631: [0, 0, 0, 0, 213], 632: [0, 0, 0, 0, 2], 636: [0, 0, 0, 0, 1], 640: [0, 0, 0, 0, 5], 643: [0, 0, 0, 0, 1], 648: [0, 0, 0, 0, 3], 649: [0, 0, 0, 0, 2]}","{631: [0.0, 0.0, 0.0, 0.0, 1.0], 632: [0.0, 0.0, 0.0, 0.0, 1.0], 636: [0.0, 0.0, 0.0, 0.0, 1.0], 640: [0.0, 0.0, 0.0, 0.0, 1.0], 643: [0.0, 0.0, 0.0, 0.0, 1.0], 648: [0.0, 0.0, 0.0, 0.0, 1.0], 649: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/車載/距離10m/Left/1回目/resize.mov
yolo26n-pose,12,"{631: [0, 0, 0, 0, 222], 657: [0, 0, 0, 0, 3], 658: [0, 0, 0, 0, 1], 665: [0, 0, 0, 0, 3], 672: [0, 0, 0, 0, 1], 673: [0, 0, 0, 0, 2], 676: [0, 0, 0, 0, 3], 677: [0, 0, 0, 0, 1], 678: [0, 0, 0, 0, 12], 679: [0, 0, 0, 0, 1], 680: [0, 0, 0, 0, 1], 681: [0, 0, 0, 0, 3]}","{631: [0.0, 0.0, 0.0, 0.0, 1.0], 657: [0.0, 0.0, 0.0, 0.0, 1.0], 658: [0.0, 0.0, 0.0, 0.0, 1.0], 665: [0.0, 0.0, 0.0, 0.0, 1.0], 672: [0.0, 0.0, 0.0, 0.0, 1.0], 673: [0.0, 0.0, 0.0, 0.0, 1.0], 676: [0.0, 0.0, 0.0, 0.0, 1.0], 677: [0.0, 0.0, 0.0, 0.0, 1.0], 678: [0.0, 0.0, 0.0, 0.0, 1.0], 679: [0.0, 0.0, 0.0, 0.0, 1.0], 680: [0.0, 0.0, 0.0, 0.0, 1.0], 681: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/車載/距離10m/Left/3回目/resize.mov
yolo26n-pose,6,"{631: [0, 0, 0, 0, 213], 689: [0, 0, 0, 0, 1], 693: [0, 0, 0, 0, 5], 694: [0, 0, 0, 0, 4], 695: [0, 0, 0, 0, 13], 696: [0, 0, 0, 0, 1]}","{631: [0.0, 0.0, 0.0, 0.0, 1.0], 689: [0.0, 0.0, 0.0, 0.0, 1.0], 693: [0.0, 0.0, 0.0, 0.0, 1.0], 694: [0.0, 0.0, 0.0, 0.0, 1.0], 695: [0.0, 0.0, 0.0, 0.0, 1.0], 696: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/車載/距離10m/Left/2回目/resize.mov
yolo26n-pose,1,"{631: [0, 0, 0, 0, 301]}","{631: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/車載/距離10m/RightandCheck/1回目/resize.mov
yolo26n-pose,1,"{631: [199, 0, 0, 0, 12]}","{631: [0.943, 0.0, 0.0, 0.0, 0.057]}",data_yolo/停止/車載/距離10m/RightandCheck/3回目/resize.mov
yolo26n-pose,1,"{631: [0, 0, 0, 0, 247]}","{631: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/車載/距離10m/RightandCheck/2回目/resize.mov
yolo26n-pose,1,"{631: [226, 0, 0, 0, 0]}","{631: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離10m/Front/1回目/resize.mov
yolo26n-pose,1,"{631: [212, 0, 0, 0, 0]}","{631: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離10m/Front/3回目/resize.mov
yolo26n-pose,1,"{631: [213, 0, 0, 0, 0]}","{631: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離10m/Front/2回目/resize.mov
